Kabupaten/Kota Se Jawa Timur,Garis Kemiskinan (Rupiah/Bulan/Kapita),Jumlah Penerima Bantuan Sosial,UMK (Rupiah),TPT (Persen),Indeks Kedalaman Kemiskinan (P1),Indeks Keparahan Kemiskinan (P2),Gini Rasio,Rasio UMK & GK,Kategori Kesejahteraan,Cluster
Kabupaten Pacitan,386174,469,2514892,1.4,1.77,0.36,0.365,6.512328639421608,Kelas Menengah,Daerah dengan Tingkat Kemiskinan Tinggi
Kabupaten Ponorogo,428183,0,2549876,3.85,1.22,0.26,0.329,5.955107979532116,Kelas Menengah,Daerah dengan Tingkat Kemiskinan Rendah
Kabupaten Trenggalek,450334,0,2530313,3.86,1.09,0.2,0.359,5.618747418582652,Kelas Menengah,Daerah dengan Tingkat Kemiskinan Rendah
Kabupaten Tulungagung,463364,0,2628190,4.03,0.42,0.04,0.291,5.671977106551221,Kelas Menengah,Daerah dengan Tingkat Kemiskinan Rendah
Kabupaten Blitar,417158,0,2567744,4.49,1.21,0.27,0.351,6.155327238120808,Kelas Menengah,Daerah dengan Tingkat Kemiskinan Rendah
Kabupaten Kediri,419486,0,2651603,4.71,1.0,0.19,0.334,6.321076269529853,Kelas Menengah,Daerah dengan Tingkat Kemiskinan Rendah
Kabupaten Malang,436153,1500,3802862,5.0,0.9,0.15,0.35,8.719100865980517,Kelas Menengah,Daerah dengan Tingkat Kemiskinan Rendah
Kabupaten Lumajang,420165,710,2578320,3.08,0.68,0.08,0.305,6.136446396058691,Kelas Menengah,Daerah dengan Tingkat Kemiskinan Rendah
Kabupaten Jember,474903,0,3012197,3.07,0.53,0.05,0.368,6.342762627315473,Kelas Menengah,Daerah dengan Tingkat Kemiskinan Rendah
Kabupaten Banyuwangi,485012,1474,2989145,3.94,0.41,0.06,0.29,6.163033079593907,Kelas Menengah,Daerah dengan Tingkat Kemiskinan Rendah
Kabupaten Bondowoso,526325,5862,2496886,2.55,1.66,0.37,0.271,4.74400037999335,Kelas Menengah,Daerah dengan Tingkat Kemiskinan Tinggi
Kabupaten Situbondo,428100,0,2483962,3.02,0.71,0.07,0.333,5.802293856575567,Kelas Menengah,Daerah dengan Tingkat Kemiskinan Rendah
Kabupaten Probolinggo,545221,1322,3164526,2.92,1.84,0.39,0.377,5.804116129055924,Kelas Menengah,Daerah dengan Tingkat Kemiskinan Tinggi
Kabupaten Pasuruan,464861,0,5187681,4.22,0.8,0.15,0.309,11.159639117929876,Kelas Menengah,Daerah dengan Tingkat Kemiskinan Sedang
Kabupaten Sidoarjo,617911,0,5191541,5.75,0.63,0.19,0.316,8.40176174238685,Kelas Menengah,Daerah dengan Tingkat Kemiskinan Sedang
Kabupaten Mojokerto,526397,0,5176101,3.49,1.48,0.35,0.315,9.83307465658049,Kelas Menengah,Daerah dengan Tingkat Kemiskinan Sedang
Kabupaten Jombang,532053,0,3320770,3.28,0.9,0.15,0.302,6.24142707587402,Kelas Menengah,Daerah dengan Tingkat Kemiskinan Rendah
Kabupaten Nganjuk,561807,0,3564627,3.84,1.45,0.32,0.3,6.344931622425495,Kelas Menengah,Daerah dengan Tingkat Kemiskinan Rendah
Kabupaten Madiun,476506,0,2553221,3.22,1.71,0.32,0.299,5.3582137475708596,Kelas Menengah,Daerah dengan Tingkat Kemiskinan Tinggi
Kabupaten Magetan,470409,0,2553866,3.26,0.74,0.12,0.36,5.429033032956427,Kelas Menengah,Daerah dengan Tingkat Kemiskinan Rendah
Kabupaten Ngawi,459551,0,2556815,2.26,1.65,0.26,0.287,5.563724156840046,Kelas Menengah,Daerah dengan Tingkat Kemiskinan Tinggi
Kabupaten Bojonegoro,490299,0,2685983,3.9,1.46,0.27,0.282,5.478255105558037,Kelas Menengah,Daerah dengan Tingkat Kemiskinan Tinggi
Kabupaten Tuban,504823,0,3229092,3.44,1.89,0.42,0.312,6.396483519966404,Kelas Menengah,Daerah dengan Tingkat Kemiskinan Tinggi
Kabupaten Lamongan,543475,1231,3196328,4.29,1.16,0.19,0.3,5.881278807672846,Kelas Menengah,Daerah dengan Tingkat Kemiskinan Rendah
Kabupaten Gresik,635154,0,5195401,5.47,1.92,0.57,0.327,8.17975010784786,Kelas Menengah,Daerah dengan Tingkat Kemiskinan Sedang
Kabupaten Bangkalan,566280,0,2550274,5.31,3.14,0.75,0.281,4.503556544465636,Kelas Menengah,Daerah dengan Tingkat Kemiskinan Tinggi
Kabupaten Sampang,504557,0,2484443,2.44,2.06,0.33,0.265,4.924008585749479,Kelas Menengah,Daerah dengan Tingkat Kemiskinan Tinggi
Kabupaten Pamekasan,482278,381,2528004,1.33,1.45,0.24,0.337,5.24179829890644,Kelas Menengah,Daerah dengan Tingkat Kemiskinan Tinggi
Kabupaten Sumenep,521366,9262,2553688,1.64,2.18,0.47,0.221,4.898071604208943,Kelas Menengah,Daerah dengan Tingkat Kemiskinan Tinggi
Kota Kediri,648506,789,2742806,3.76,0.62,0.21,0.334,4.229422703876294,Kelas Menengah,Daerah dengan Tingkat Kemiskinan Rendah
Kota Blitar,625337,0,2549876,4.28,0.84,0.15,0.34,4.077602956485863,Kelas Menengah,Daerah dengan Tingkat Kemiskinan Rendah
Kota Malang,737954,0,3736101,5.69,0.39,0.05,0.372,5.062783046097724,Kelas Menengah,Daerah dengan Tingkat Kemiskinan Rendah
Kota Probolinggo,683244,0,3045172,4.93,0.36,0.05,0.258,4.456931930613368,Kelas Menengah,Daerah dengan Tingkat Kemiskinan Rendah
Kota Pasuruan,588312,0,3555301,4.59,1.03,0.22,0.334,6.043223663634262,Kelas Menengah,Daerah dengan Tingkat Kemiskinan Rendah
Kota Mojokerto,630959,0,3208556,4.66,0.76,0.15,0.298,5.085205219356567,Kelas Menengah,Daerah dengan Tingkat Kemiskinan Rendah
Kota Madiun,666073,0,5288796,4.29,0.38,0.05,0.394,7.940264805809574,Kelas Menengah,Daerah dengan Tingkat Kemiskinan Sedang
Kota Surabaya,775597,0,5288796,4.84,0.41,0.11,0.369,6.819000073491774,Kelas Menengah,Daerah dengan Tingkat Kemiskinan Sedang
Kota Batu,671273,0,3562484,3.53,0.37,0.06,0.347,5.307056890415673,Kelas Menengah,Daerah dengan Tingkat Kemiskinan Rendah
